algorithm,nev,time
AMLS,494.0,1472.361783
AMLS,495.0,1351.336993
CMS,18.0,24.652
CMS,19.0,28.6575
CMS,20.0,30.5566
CMS,23.0,41.3305
CMS,26.0,55.7072
CMS,27.0,65.2729
CMS,28.0,69.1417
CMS,29.0,77.3513
CMS,31.0,87.7694
CMS,34.0,97.931
CMS,39.0,104.652
CMS,45.0,106.769
CMS,46.0,110.385
CMS,48.0,106.142
CMS,51.0,109.469
CMS,53.0,109.881
CMS,56.0,113.808
CMS,60.0,116.019
CMS,63.0,119.263
CMS,66.0,123.751
CMS,73.0,126.596
CMS,76.0,108.372
CMS,78.0,110.133
CMS,81.0,111.375
CMS,82.0,114.626
CMS,84.0,118.62
CMS,85.0,118.671
CMS,86.0,121.598
CMS,87.0,124.513
CMS,88.0,123.855
CMS,89.0,128.16
CMS,100.0,148.373
CMS,109.0,150.911
CMS,121.0,170.198
CMS,132.0,178.424
CMS,147.0,202.771
CMS,151.0,204.875
CMS,154.0,216.348
CMS,164.0,232.63
CMS,176.0,250.533
CMS,181.0,261.798
CMS,186.0,263.215
CMS,192.0,283.588
CMS,196.0,291.866
CMS,200.0,310.481
CMS,208.0,321.299
CMS,210.0,336.435
CMS,222.0,351.789
CMS,223.0,363.587
CMS,238.0,387.829
CMS,256.0,412.014
CMS,267.0,419.93
CMS,283.0,448.622
CMS,287.0,453.745
CMS,301.0,485.72
CMS,305.0,482.475
CMS,309.0,498.891
CMS,312.0,504.91
CMS,322.0,521.146
CMS,323.0,524.669
CMS,330.0,532.764
CMS,336.0,560.903
CMS,338.0,553.883
CMS,341.0,570.994
CMS,344.0,570.555
CMS,353.0,592.499
CMS,354.0,595.677
CMS,359.0,619.05
CMS,366.0,632.224
CMS,367.0,630.866
CMS,370.0,625.738
CMS,381.0,663.317
CMS,385.0,664.904
CMS,388.0,673.112
CMS,397.0,702.784
CMS,402.0,698.691
CMS,405.0,699.099
CMS,411.0,715.038
CMS,413.0,715.094
CMS,424.0,746.684
CMS,425.0,740.679
CMS,429.0,754.117
CMS,433.0,753.373
CMS,447.0,778.897
CMS,448.0,779.606
CMS,454.0,792.572
CMS,461.0,818.1
CMS,462.0,824.84
CMS,473.0,856.794
CMS,474.0,855.437
CMS,478.0,863.002
CMS,482.0,893.561
CMS,483.0,885.94
CMS,488.0,898.207
CMS,489.0,902.241
CMS,490.0,905.139
CMS,491.0,902.647
CMS,493.0,917.507
CMS,496.0,944.688
CMSINTRD,15.0,30.705096
CMSINTRD,25.0,35.665542
CMSINTRD,26.0,26.130113
CMSINTRD,30.0,29.054357
CMSINTRD,33.0,32.071262
CMSINTRD,37.0,35.575828
CMSINTRD,41.0,38.084323
CMSINTRD,45.0,42.102474
CMSINTRD,52.0,49.184988
CMSINTRD,57.0,63.082886
CMSINTRD,67.0,59.39426
CMSINTRD,73.0,69.599141
CMSINTRD,78.0,73.803184
CMSINTRD,81.0,79.240464
CMSINTRD,90.0,85.477845
CMSINTRD,98.0,101.113022
CMSINTRD,99.0,102.334435
CMSINTRD,100.0,92.293415
CMSINTRD,101.0,102.038728
CMSINTRD,103.0,101.954747
CMSINTRD,104.0,99.37601
CMSINTRD,108.0,129.893109
CMSINTRD,122.0,144.595113
CMSINTRD,123.0,143.261008
CMSINTRD,124.0,142.741039
CMSINTRD,125.0,144.725721
CMSINTRD,126.0,143.407899
CMSINTRD,129.0,142.957355
CMSINTRD,137.0,179.093083
CMSINTRD,139.0,178.334679
CMSINTRD,149.0,177.759987
CMSINTRD,151.0,177.15211
CMSINTRD,152.0,225.338306
CMSINTRD,153.0,179.992201
CMSINTRD,160.0,223.431868
CMSINTRD,161.0,225.069465
CMSINTRD,162.0,224.28476
CMSINTRD,164.0,224.461088
CMSINTRD,167.0,223.686272
CMSINTRD,171.0,217.8726
CMSINTRD,182.0,293.629404
CMSINTRD,189.0,293.539838
CMSINTRD,195.0,298.432367
CMSINTRD,202.0,293.065001
CMSINTRD,204.0,348.792429
CMSINTRD,207.0,298.387891
CMSINTRD,210.0,292.693435
CMSINTRD,216.0,333.610323
CMSINTRD,219.0,393.640626
CMSINTRD,224.0,348.46369
CMSINTRD,227.0,346.670502
CMSINTRD,233.0,451.112744
CMSINTRD,238.0,393.431343
CMSINTRD,239.0,398.121089
CMSINTRD,241.0,375.255683
CMSINTRD,247.0,452.560229
CMSINTRD,261.0,449.421189
CMSINTRD,262.0,449.797139
CMSINTRD,265.0,510.522249
CMSINTRD,275.0,513.118676
CMSINTRD,276.0,477.803695
CMSINTRD,281.0,514.12954
CMSINTRD,282.0,510.558952
CMSINTRD,284.0,566.036338
CMSINTRD,288.0,513.290614
