1.75505,2.5715,5.38966,0.173232,5.46766,0.314384,8.46483,11.2378,10.4995,11.554,25.6567,0.610198,31.307,16.8998,230.94,230.94,61.474,4.06098,4.4581,39.8619,230.94,230.94,230.94,230.94,230.94,230.94,102.836,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94
0.581245,1.60521,1.8027,0.0984409,3.46565,0.183535,5.00419,3.87863,6.84428,6.95798,6.32926,0.372214,7.93414,10.4857,18.6415,0.734893,17.6382,0.899672,1.10739,10.6681,13.9901,24.5739,1.19333,26.5947,15.7467,26.3398,49.9571,1.81788,36.4285,18.6867,6.21275,34.126,39.3408,230.94,47.8268,230.94,43.8724,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,95.8439,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94
0.417927,0.657844,1.58445,0.039573,1.88495,0.104985,1.97611,3.87863,6.84428,3.70803,4.325,0.372214,6.8313,10.4857,6.8393,0.463948,11.9784,0.792104,0.711323,10.6681,8.98201,15.8902,1.19333,10.6473,13.2157,18.8044,14.5851,1.22857,10.3408,18.6867,1.63428,23.1976,17.9129,19.661,230.94,230.94,230.94,22.8032,230.94,3.41621,2.72439,2.23364,44.5789,230.94,230.94,230.94,28.025,69.1913,39.3583,40.8723,44.5901,9.18816,9.16652,3.79648,230.94,230.94,230.94,230.94,230.94,230.94,226.683,230.94,230.94,229.273,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94
0.417927,0.657844,1.30274,0.039573,1.41542,0.0721102,1.97611,2.82876,2.81022,2.75349,4.325,0.145985,5.46326,4.17546,5.05942,0.463948,5.04938,0.575734,0.288158,7.4402,8.98201,6.46445,0.780124,10.6473,10.2045,18.8044,10.3574,1.22857,10.3408,12.2925,1.09742,23.1976,11.3915,19.661,15.1513,1.72648,13.1484,15.3046,26.8301,1.89792,1.92736,2.23364,31.9589,230.94,230.94,19.0097,230.94,230.94,20.1685,20.0993,35.2968,2.6094,2.99126,2.79392,22.0902,55.912,44.949,41.3899,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,11.4842,5.00212,230.94,52.8939,40.9805,230.94,230.94,230.94,230.94,230.94,68.5949,230.94,230.94,230.94,230.94,230.94,230.94,230.94,84.6792,230.94,230.94,230.94,97.1979,230.94,230.94,230.94,230.94,230.94,230.94,128.828,229.694
0.205087,0.505661,0.639306,0.0288529,1.08843,0.0527114,1.50504,2.82876,2.81022,2.10066,1.97758,0.145985,2.50465,4.17546,5.05942,0.204026,5.04938,0.253491,0.288158,7.4402,3.89603,6.46445,0.780124,8.03111,4.44601,8.34854,10.3574,0.525158,7.4236,12.2925,1.09742,9.87157,8.216,14.2877,11.702,1.16087,13.1484,230.94,230.94,1.28594,0.876537,1.5447,14.5408,230.94,230.94,12.8089,19.2741,19.2063,13.6662,20.0993,35.2968,2.6094,2.13087,2.79392,230.94,230.94,14.1311,41.3899,14.8803,24.1647,230.94,230.94,230.94,230.94,230.94,25.2016,230.94,230.94,43.479,3.27816,3.80634,28.1212,230.94,230.94,230.94,230.94,12.135,39.5159,23.485,230.94,230.94,230.94,230.94,230.94,32.1215,51.1697,59.3655,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,230.94,225.017,230.94,230.94
0.205087,0.505661,0.639306,0.0288529,1.08843,0.0527114,1.50504,1.39174,2.16496,2.10066,1.97758,0.107445,2.50465,3.1938,2.51154,0.204026,3.91081,0.253491,0.214645,3.43193,3.89603,4.96969,0.346108,4.06305,4.44601,6.53316,4.83889,0.397262,7.4236,5.40025,0.495675,7.661,8.216,6.82755,11.702,1.16087,9.55606,6.81752,12.8143,1.28594,0.876537,0.717749,14.5408,11.4672,1.50192,12.8089,8.77285,19.2063,13.6662,15.9331,18.3675,1.81771,2.13087,1.35286,230.94,230.94,14.1311,20.4187,14.8803,24.1647,230.94,230.94,230.94,16.1253,230.94,230.94,230.94,230.94,43.479,3.27816,3.80634,19.7613,17.8581,230.94,230.94,230.94,3.5617,39.5159,23.485,26.9193,20.0632,230.94,230.94,230.94,32.1215,30.199,50.8959,230.94,230.94,230.94,48.1013,230.94,59.2965,230.94,230.94,230.94,230.94,230.94,230.94,230.94
0.165825,0.274127,0.581247,0.0157094,0.690435,0.0352196,0.80707,1.39174,2.16496,1.31905,1.57426,0.107445,2.26706,3.1938,2.51154,0.154934,3.91081,0.233213,0.214645,3.43193,3.06161,4.96969,0.346108,4.06305,3.97102,6.53316,4.83889,0.397262,3.63743,5.40025,0.495675,7.661,4.9242,6.82755,6.10303,0.546031,9.55606,6.81752,10.1815,0.79118,0.674394,0.717749,11.4468,11.4672,1.50192,5.92032,8.77285,9.49108,7.72904,15.9331,18.3675,1.81771,1.02641,1.35286,230.94,230.94,10.4803,20.4187,230.94,230.94,230.94,230.94,230.94,16.1253,230.94,230.94,230.94,230.94,24.7424,2.94502,1.95644,19.7613,17.8581,230.94,27.2501,230.94,3.5617,31.2853,16.3524,26.9193,20.0632,230.94,230.94,230.94,22.9659,25.2144,31.5529,230.94,230.94,230.94,36.1062,230.94,230.94,230.94,22.714,230.94,230.94,37.8804,31.703,36.6542
0.165825,0.274127,0.517135,0.0157094,0.587184,0.0280701,0.80707,1.12682,1.1608,1.12462,1.57426,0.0560259,1.99558,1.70311,2.03758,0.154934,2.0927,0.193008,0.111545,2.7388,3.06161,2.64303,0.264795,4.06305,3.49865,6.53316,3.87257,0.397262,3.63743,4.25953,0.38194,7.661,4.04016,6.82755,6.10303,0.546031,4.72983,5.39635,10.1815,0.607747,0.674394,0.717749,11.4468,5.734,0.716251,5.92032,8.77285,9.49108,6.34348,8.65394,14.8738,0.879153,1.02641,1.05892,7.0637,13.9682,10.4803,16.3687,230.94,230.94,12.8789,8.10263,2.24172,12.0577,230.94,230.94,230.94,230.94,23.3577,2.31029,1.82043,230.94,230.94,14.5551,24.9937,2.77967,2.529,20.0698,16.3524,20.7065,20.0632,230.94,230.94,230.94,22.9659,25.2144,31.5529,230.94,230.94,230.94,21.6883,230.94,230.94,230.94,22.714,230.94,230.94,37.8804,28.802,26.7089
0.165825,0.274127,0.517135,0.0157094,0.587184,0.0280701,0.80707,1.12682,1.1608,1.12462,1.57426,0.0560259,1.99558,1.70311,2.03758,0.154934,2.0927,0.193008,0.111545,2.7388,3.06161,2.64303,0.264795,3.30934,3.49865,3.52332,3.87257,0.20919,3.63743,4.25953,0.38194,4.09522,4.04016,5.49023,5.0032,0.546031,4.72983,230.94,230.94,0.607747,0.363386,0.558187,6.22178,5.734,0.716251,5.92032,6.97936,7.68691,6.34348,8.65394,14.8738,0.879153,0.806845,1.05892,230.94,230.94,10.4803,16.3687,230.94,230.94,12.8789,8.10263,1.1054,12.0577,8.83027,11.6875,2.18099,1.43206,20.4698,2.31029,1.55712,9.48755,13.4472,14.5551,22.3012,1.40388,2.529,16.9751,16.3524,20.7065,15.2404,230.94,230.94,230.94,11.2465,15.1244,26.6959,230.94,230.94,230.94,18.4244,230.94,28.9759,230.94,17.4329,230.94,230.94,21.6954,24.844,26.7089
0.0984084,0.228361,0.3065,0.0126083,0.488656,0.0225097,0.670255,0.762402,1.07034,0.933748,0.906338,0.0522706,1.14793,1.55871,2.03758,0.087913,2.0927,0.108974,0.111545,1.8068,1.73258,2.64303,0.180256,3.30934,1.98051,3.52332,3.87257,0.20919,2.95956,2.75406,0.38194,4.09522,3.29012,5.49023,5.0032,0.426394,4.33083,230.94,230.94,0.475574,0.363386,0.558187,6.22178,5.734,0.66389,4.74692,6.97936,7.68691,5.09188,7.15911,8.43539,0.879153,0.806845,0.586713,230.94,230.94,5.40213,9.14812,5.72517,9.08235,10.5306,8.10263,1.1054,7.47622,8.83027,11.6875,1.08303,1.13883,20.4698,1.15246,1.55712,9.48755,13.4472,11.7632,22.3012,1.40388,1.59797,16.9751,7.9352,10.9899,230.94,230.94,2.84099,1.94058,11.2465,15.1244,26.6959,10.4449,1.78214,2.16955,18.4244,230.94,230.94,230.94,17.4329,230.94,230.94,21.6954,24.844,13.4016
