index,eigenvalue,residual
57,1.668057451201e+06,3.463465860738e-06
58,1.684106463742e+06,7.783426885201e-06
59,1.729929140078e+06,7.147832804182e-06
60,1.791678008955e+06,7.436467403454e-06
61,1.822874992805e+06,7.331665453980e-06
62,1.846854676154e+06,8.205070705928e-06
63,1.849757550659e+06,8.311501476029e-06
64,1.954605468367e+06,8.181143110414e-06
65,1.969769084466e+06,4.429237371988e-06
66,2.092109436321e+06,5.142999374050e-06
67,2.119497817145e+06,3.865195402993e-06
68,2.148989639473e+06,3.352744841425e-05
69,2.169273246116e+06,8.834899803538e-06
70,2.225292256997e+06,1.099818629641e-05
71,2.334506038720e+06,4.110018527845e-06
72,2.336508385077e+06,1.261938451481e-05
73,2.360548005625e+06,1.279306087559e-05
74,2.406498784562e+06,7.225104872452e-06
75,2.474196461503e+06,4.156328585174e-06
76,2.491129093301e+06,5.160600834545e-06
77,2.504124139796e+06,4.052587682951e-06
78,2.520335180154e+06,5.436847347158e-06
79,2.674309166753e+06,6.802801223702e-06
80,2.697257194489e+06,5.034206674613e-06
81,2.803054966663e+06,6.688449146907e-06
82,2.814874743728e+06,5.372387100209e-06
83,2.832385955600e+06,3.958346515274e-06
84,2.843376802592e+06,3.415337339670e-06
85,3.028646590404e+06,6.473599944428e-06
86,3.080565745570e+06,2.721657575807e-06
87,3.095337194920e+06,4.228294876539e-06
88,3.172578274010e+06,9.350245314815e-06
89,3.208450475613e+06,8.433254931118e-06
90,3.240872437596e+06,2.074685977477e-06
91,3.310724386353e+06,3.954800025738e-06
92,3.312687678297e+06,2.743431426204e-06
93,3.344977741541e+06,1.255175438302e-06
94,3.474613688672e+06,2.786389836282e-06
95,3.640455443791e+06,4.747916481663e-06
96,3.650587632243e+06,4.646786067214e-06
97,3.724120622864e+06,4.534704720014e-06
98,3.822821871963e+06,5.041771288205e-06
99,3.846078282811e+06,4.433692208148e-06
100,3.860377231837e+06,5.220694969952e-06
101,3.891735631727e+06,6.512720889212e-06
102,3.953615515350e+06,3.744284381485e-06
103,3.965126664985e+06,4.032781532513e-06
104,3.988626938073e+06,1.735271954727e-06
105,4.077284218379e+06,7.252874313671e-06
106,4.217094411101e+06,1.950468663923e-06
107,4.297102867225e+06,2.533494747560e-05
108,4.337601982983e+06,7.266705648740e-06
109,4.455540753990e+06,2.071762882161e-06
110,4.509934546146e+06,3.536440106924e-06
111,4.518561705937e+06,4.161013040468e-06
112,4.570938913428e+06,3.308533247692e-06
113,4.592502634661e+06,8.335069651057e-07
114,4.610896331348e+06,8.639563553081e-07
115,4.622714939043e+06,4.966032955498e-06
116,4.627548097488e+06,2.987631846940e-06
117,4.760654023827e+06,5.580835162621e-07
118,4.789503689309e+06,1.187879065147e-06
119,4.814335846346e+06,5.759116969646e-06
