Index | Lambda          | RelErr(|Kx|)    | RelErr(|L*Mx|)
---------------------------------------------------------
6     | 3.80564867e+03  | 1.62698087e-04      
7     | 4.23101573e+03  | 1.16583854e-04      
8     | 3.02657413e+04  | 1.69242729e-05      
9     | 3.50526850e+04  | 1.08643327e-05      
10    | 6.56481902e+04  | 6.41957713e-06      
11    | 8.93223090e+04  | 1.15259933e-06      
12    | 9.38390741e+04  | 8.53087043e-07      
13    | 1.07337873e+05  | 4.68123315e-06      
14    | 1.12935608e+05  | 6.20251963e-07      
15    | 1.18967813e+05  | 7.64782266e-07      
16    | 1.22651903e+05  | 2.90891482e-06      
17    | 1.79047113e+05  | 4.52155436e-07      
18    | 1.82572571e+05  | 4.82513755e-07      
19    | 1.89668065e+05  | 3.55941047e-07      
26    | 3.21266038e+05  | 2.72688247e-07      
27    | 3.46137045e+05  | 1.91401416e-07      
28    | 3.53988289e+05  | 9.38045005e-07      
29    | 4.28117961e+05  | 2.86262683e-07      
30    | 4.33281347e+05  | 2.49102293e-07      
31    | 4.52467887e+05  | 2.06731092e-07      
32    | 4.75698607e+05  | 2.37964236e-07      
33    | 6.08309368e+05  | 7.81580173e-07      
34    | 6.16004098e+05  | 2.51469421e-07      
35    | 6.20139647e+05  | 5.44116730e-07      
36    | 6.26246344e+05  | 4.87434705e-07      
37    | 6.74643671e+05  | 6.24129083e-08      
38    | 6.86613659e+05  | 4.45529572e-08      
39    | 7.30875921e+05  | 1.54441222e-07      
46    | 8.39392724e+05  | 1.06556365e-07      
47    | 8.59332493e+05  | 1.46752597e-07      
48    | 8.74906441e+05  | 1.40403440e-07      
49    | 9.06058651e+05  | 3.47066684e-07      
50    | 9.18831251e+05  | 9.42868608e-08      
51    | 9.49304968e+05  | 6.33049560e-07      
52    | 9.52869679e+05  | 1.89641273e-07      
53    | 1.02726061e+06  | 4.50891857e-07      
54    | 1.03448940e+06  | 2.21379770e-07      
55    | 1.04690588e+06  | 8.89053841e-08      
56    | 1.06254590e+06  | 3.13522352e-07      
57    | 1.10550287e+06  | 1.60106276e-07      
58    | 1.16710245e+06  | 2.53795931e-07      
59    | 1.29403083e+06  | 9.83162837e-08      
66    | 1.64074490e+06  | 7.74462936e-08      
67    | 1.73918786e+06  | 2.10279782e-07      
68    | 1.75557544e+06  | 1.08247353e-07      
69    | 1.81231852e+06  | 1.69325266e-07      
70    | 1.82850398e+06  | 1.06398040e-07      
71    | 1.89177993e+06  | 8.25393999e-08      
72    | 1.89646908e+06  | 1.04176275e-07      
73    | 1.90229352e+06  | 2.01325468e-07      
74    | 1.93735179e+06  | 8.73583455e-08      
75    | 1.95922491e+06  | 5.21637669e-08      
76    | 1.98007455e+06  | 6.54790019e-08      
77    | 1.99088219e+06  | 5.87662777e-08      
78    | 2.07033012e+06  | 4.94076264e-08      
79    | 2.09808277e+06  | 9.90836461e-08      
86    | 2.43840831e+06  | 5.66047473e-08      
87    | 2.45507070e+06  | 1.66361531e-07      
88    | 2.46461384e+06  | 1.70788144e-08      
89    | 2.49408275e+06  | 1.23716559e-07      
90    | 2.54126760e+06  | 1.43907406e-07      
91    | 2.54955990e+06  | 5.26936824e-08      
92    | 2.56108344e+06  | 5.61754260e-08      
93    | 2.56835954e+06  | 9.21245546e-08      
94    | 2.62910959e+06  | 9.03989990e-08      
95    | 2.68324673e+06  | 2.95175118e-08      
96    | 2.73070385e+06  | 7.88451632e-08      
97    | 2.76281227e+06  | 9.96456491e-08      
98    | 2.77641935e+06  | 2.12580518e-07      
99    | 2.78136868e+06  | 2.35063480e-07      
106   | 3.04746908e+06  | 1.06841835e-07      
107   | 3.07571973e+06  | 7.80608794e-08      
108   | 3.07763247e+06  | 7.29107926e-08      
109   | 3.10785205e+06  | 6.40244730e-08      
110   | 3.13262027e+06  | 9.03372764e-08      
111   | 3.21637608e+06  | 1.04428297e-07      
112   | 3.22950526e+06  | 1.39387621e-07      
113   | 3.25223994e+06  | 8.59551794e-08      
114   | 3.27451608e+06  | 1.28029610e-07      
115   | 3.29345463e+06  | 9.60593989e-08      
116   | 3.35279043e+06  | 2.69871134e-08      
117   | 3.38945335e+06  | 1.26637002e-07      
118   | 3.41084545e+06  | 7.01183169e-08      
119   | 3.41604274e+06  | 7.55165445e-08      
126   | 3.79379899e+06  | 4.37758268e-08      
127   | 3.81647227e+06  | 6.00563386e-08      
128   | 3.81858279e+06  | 5.10510850e-08      
129   | 3.85142228e+06  | 1.00106335e-07      
130   | 3.86470894e+06  | 5.60824309e-08      
131   | 3.87556723e+06  | 1.05510105e-07      
132   | 3.92208678e+06  | 5.98179631e-08      
133   | 3.95658977e+06  | 9.67075848e-08      
134   | 4.04050147e+06  | 7.36242320e-08      
135   | 4.08795033e+06  | 1.01353474e-07      
136   | 4.09856417e+06  | 1.01734333e-07      
137   | 4.11017700e+06  | 8.86173461e-08      
138   | 4.12874269e+06  | 6.69543301e-08      
139   | 4.12945386e+06  | 6.84111188e-08      
146   | 4.45806626e+06  | 2.75043305e-07      
147   | 4.49283999e+06  | 7.72340917e-08      
148   | 4.50931746e+06  | 3.28249783e-07      
149   | 4.57576351e+06  | 1.17069554e-07      
150   | 4.62283495e+06  | 4.40437410e-08      
151   | 4.68762630e+06  | 2.89364162e-08      
152   | 4.72045854e+06  | 6.60305942e-08      
153   | 4.76158854e+06  | 7.12260756e-08      
154   | 4.89258451e+06  | 1.11550059e-07      
155   | 4.97329273e+06  | 6.62341688e-08      
156   | 5.01213520e+06  | 2.16487599e-08      
157   | 5.03406893e+06  | 1.35361183e-07      
158   | 5.05672421e+06  | 1.00141041e-07      
159   | 5.10203607e+06  | 9.92816989e-08      
166   | 5.52169221e+06  | 3.29484589e-07      
167   | 5.56524219e+06  | 8.77206576e-08      
168   | 5.57124218e+06  | 2.13294448e-07      
169   | 5.59689553e+06  | 9.54290437e-08      
170   | 5.61857011e+06  | 4.97282386e-08      
171   | 5.63480502e+06  | 4.14361520e-08      
172   | 5.90153272e+06  | 7.75191734e-08      
173   | 5.97542077e+06  | 8.39435428e-08      
174   | 5.98953400e+06  | 1.29136575e-07      
175   | 6.01840587e+06  | 1.09931488e-07      
176   | 6.09380536e+06  | 6.74242052e-08      
177   | 6.12982021e+06  | 5.83258889e-08      
178   | 6.16946271e+06  | 7.14211856e-08      
179   | 6.23244168e+06  | 5.36030712e-08      
